6
3
10
"X12" "X22" "LOG(DENS)"        "LOG(S)"              "LOG(DS)"
0.30 0.00 7.0000000000000000 3.2196947054372367  0.8341173004382194 
0.30 0.00 7.6989700043360196 4.2945279031187171  0.1474637725442481 
0.30 0.00 7.8450980400142596 4.5728179907971001 -0.2060915036378532 
0.30 0.00 8.0000000000000000 5.0799044676667204 -1.8123664900493062 
0.30 0.00 8.3979400086720357 5.3567904603517160 -2.3527344226369808 
0.30 0.00 8.6989700043360187 6.1740598077250253 -3.2492833788576925 
0.30 0.00 8.9999999999999982 6.4504030861553661 -3.7071460775275500 
0.30 0.00 9.3010299956639813 6.6940784620807587 -4.1168100159674195 
0.30 0.00 9.6020599913279607 6.9432966145666546 -4.5010557010176004 
0.30 0.00 9.7781512503836421 7.0948203803547996 -4.7251035545006399 
0.30 0.02 7.0000000000000000 3.2196947054372367  0.8341173004382194 
0.30 0.02 7.6989700043360196 4.2945279031187171  0.1474637725442481 
0.30 0.02 7.8450980400142596 4.5728179907971001 -0.2060915036378532 
0.30 0.02 8.0000000000000000 5.0595634179012681 -1.7920426570270629 
0.30 0.02 8.3979400086720357 5.5319895514125506 -2.5018273393634560 
0.30 0.02 8.6989700043360187 6.2108533653148932 -3.2844060883319810 
0.30 0.02 8.9999999999999982 6.4963760540124005 -3.7513402569516638 
0.30 0.02 9.3010299956639813 6.7418603940652631 -4.1663875941520772 
0.30 0.02 9.6020599913279607 6.9875768947269874 -4.5476767830224851 
0.30 0.02 9.7781512503836421 7.1367205671564067 -4.7679446092234103 
0.30 0.06 7.0000000000000000 3.2196947054372367  0.8341173004382194 
0.30 0.06 7.6989700043360196 4.2945279031187171  0.1474637725442481 
0.30 0.06 7.8450980400142596 4.5728179907971001 -0.2060915036378532 
0.30 0.06 8.0000000000000000 5.0899051114393981 -1.8181564120552272 
0.30 0.06 8.3979400086720357 5.5340261060561353 -2.5328212220569681 
0.30 0.06 8.6989700043360187 6.2643455070500922 -3.3487801543366844 
0.30 0.06 8.9999999999999982 6.5772619535858148 -3.8312963197509227 
0.30 0.06 9.3010299956639813 6.8254910298794309 -4.2515793775324315 
0.30 0.06 9.6020599913279607 7.0674428427763800 -4.6385365976332782 
0.30 0.06 9.7781512503836421 7.2121876044039581 -4.8558618623364120 
0.50 0.00 7.0000000000000000 3.6748611407378116  0.6253124509616738 
0.50 0.00 7.6989700043360196 4.7774268223893106 -0.2848326421515421 
0.50 0.00 7.8450980400142560 4.9552065375419421 -1.7589269192470132 
0.50 0.00 8.0000000000000000 5.3461573022320081 -2.0369775826815282 
0.50 0.00 8.3979400086720357 6.0909630765957310 -2.9729359378489542 
0.50 0.00 8.6989700043360187 6.4533183400470371 -3.5130738723800490 
0.50 0.00 8.9999999999999982 6.6983615660551097 -3.9386606331629324 
0.50 0.00 9.3010299956639813 6.9207492612757084 -4.3337535383548094 
0.50 0.00 9.6020599913279607 7.1528995963937465 -4.7056219644127584 
0.50 0.00 9.7781512503836421 7.2962262872611605 -4.9174300357300762 
0.50 0.02 7.0000000000000000 3.6748611407378116  0.6253124509616738 
0.50 0.02 7.6989700043360196 4.7774268223893106 -0.2848326421515421 
0.50 0.02 7.8450980400142560 5.0330214446829107 -1.9126090550028119 
0.50 0.02 8.0000000000000000 5.3692158574101425 -2.0565302168301383 
